"","","","E","","","","E","","","","E","","","","E"
"","","","H","","","","H","","","","H","","","","H"
"","","","W","","","","W","","","","W","","","","W"
"","","","WOC","","","","WOC","","","","WOC","","","","WOC"
"Ablerus","","","Q","Ablerus","","","Q","Ablerus","","","Q","Ablerus","","","Q"
"Ablerus","celsus","","Q","Ablerus","celsus","","Q","Ablerus","celsus","","Q","Ablerus","celsus","","Q"
"Ablerus","clisiocampae","","Q","Ablerus","clisiocampae","","Q","Ablerus","clisiocampae","","Q","Ablerus","clisiocampae","","Q"
"Ablerus","gargarae","","Q","Ablerus","gargarae","","Q","Ablerus","gargarae","","Q","Ablerus","gargarae","","Q"
"Ablerus","pulcherrimus","","Q","Ablerus","pulcherrimus","","Q","Ablerus","pulcherrimus","","Q","Ablerus","pulcherrimus","","Q"
"Acerophagus","austriacus","","EE","Acerophagus","austriacus","","EE","Acerophagus","austriacus","","EE","Acerophagus","austriacus","","EE"
"Acerophagus","notativentris","","EE","Acerophagus","notativentris","","EE","Acerophagus","notativentris","","EE","Acerophagus","notativentris","","EE"
"Achrysocharoides","","","HN","Achrysocharoides","","","HN","Achrysocharoides","","","HN","Achrysocharoides","","","HN"
"Acmopolynema","","","MY","Acmopolynema","","","MY","Acmopolynema","","","MY","Acmopolynema","","","MY"
"Acmopolynema","bifasciatipenne","","MY","Acmopolynema","bifasciatipenne","","MY","Acmopolynema","bifasciatipenne","","MY","Acmopolynema","bifasciatipenne","","MY"
"Acmopolynema","hervali","","MY","Acmopolynema","hervali","","MY","Acmopolynema","hervali","","MY","Acmopolynema","hervali","","MY"
"Acmopolynema","sema","","MY","Acmopolynema","sema","","MY","Acmopolynema","sema","","MY","Acmopolynema","sema","","MY"
"Acmopolynema","varium","","MY","Acmopolynema","varium","","MY","Acmopolynema","varium","","MY","Acmopolynema","varium","","MY"
"Acrias","tuberosa","","HD","Acrias","tuberosa","","HD","Acrias","tuberosa","","HD","Acrias","tuberosa","","HD"
"Acroclisissa","clypeata","","PZD","Acroclisissa","clypeata","","PZD","Acroclisissa","clypeata","","PZD","Acroclisissa","clypeata","","PZD"
"Acroclisoides","","","PZD","Acroclisoides","","","PZD","Acroclisoides","","","PZD","Acroclisoides","","","PZD"
"Acroclisoides","africanus","","PZD","Acroclisoides","africanus","","PZD","Acroclisoides","africanus","","PZD","Acroclisoides","africanus","","PZD"
"Acroclisoides","bicolor","","PZD","Acroclisoides","bicolor","","PZD","Acroclisoides","bicolor","","PZD","Acroclisoides","bicolor","","PZD"
"Acroclisoides","indicus","","PZD","Acroclisoides","indicus","","PZD","Acroclisoides","indicus","","PZD","Acroclisoides","indicus","","PZD"
"Acroclisoides","luzonensis","","PZD","Acroclisoides","luzonensis","","PZD","Acroclisoides","luzonensis","","PZD","Acroclisoides","luzonensis","","PZD"
"Acroclisoides","maculatus","","PZD","Acroclisoides","maculatus","","PZD","Acroclisoides","maculatus","","PZD","Acroclisoides","maculatus","","PZD"
"Acroclisoides","megacephalus","","PZD","Acroclisoides","megacephalus","","PZD","Acroclisoides","megacephalus","","PZD","Acroclisoides","megacephalus","","PZD"
"Acroclisoides","sinicus","","PZD","Acroclisoides","sinicus","","PZD","Acroclisoides","sinicus","","PZD","Acroclisoides","sinicus","","PZD"
"Acroclisoides","tectacorisi","","PZD","Acroclisoides","tectacorisi","","PZD","Acroclisoides","tectacorisi","","PZD","Acroclisoides","tectacorisi","","PZD"
