"Anastatoodera","zapiolai","!","Blanchard","Anastatoodera","zapiolai","","Blanchard","",""
"Anastatus","absonus","","Narendran","Anastatus","absonus","","Narendran","2009","2009"
"Anastatus","acherontiae","","Narayanan, Subba Rao & Ramachandra","Anastatus","acherontiae","","Narayanan, Subba Rao & Ramachandra","1960","1960"
"Anastatus","aereicorpus","","(Girault)","Anastatus","aereicorpus","","(Girault)","1925","1925"
"Anastatus","aereicorpus","","(Girault)","Eupelmus","aereicorpus","","Girault","1925","1925"
"Anastatus","alaredactus","","Narendran","Anastatus","alaredactus","","Narendran","2009","2009"
"Anastatus","alboclavus","","Ashmead","Anastatus","alboclavus","","Ashmead","1900","1900"
"Anastatus","ali","","Boucek","Anastatus","ali","","Boucek","1976","1976"
"Anastatus","ali","","Boucek","Macreupelmus","aliberti","","Risbec","1976","1951"
"Anastatus","aliberti","","Risbec","Anastatus","aliberti","","Risbec","1951","1951"
"Anastatus","aliberti","","Risbec","Anastatus","aliberti","bruniptera","Risbec","1951","1951"
"Anastatus","amarus","","(Subba Rao)","Anastatus","amarus","","(Subba Rao)","1957","1957"
"Anastatus","amarus","","(Subba Rao)","Solindenia","amara","","Subba Rao","1957","1957"
"Anastatus","angustifrons","","(Nikol'skaya)","Anastatus","angustifrons","","(Nikol'skaya)","1952","1952"
"Anastatus","angustifrons","","(Nikol'skaya)","Eupelmella","angustifrons","","Nikol'skaya","1952","1952"
"Anastatus","antestiae","","FerriŠre","Anastatus","antestiae","","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","antestiae","hancocki","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","antestiae","longiclava","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","bifasciatus","antestiae","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","bifasciatus","hancocki","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","bifasciatus","longiclava","FerriŠre","1930","1930"
"Anastatus","antestiae","","FerriŠre","Anastatus","brevipennis","","FerriŠre","1930","1935"
"Anastatus","apantelesi","","Risbec","Anastatus","apantelesi","","Risbec","1951","1951"
"Anastatus","apantelesi","","Risbec","Anastatus","apantelesi","nezarae","Risbec","1951","1951"
"Anastatus","apantelesi","","Risbec","Anastatus","nezarae","","Risbec","1951","1951"
"Anastatus","apterus","","(Girault)","Anastatus","apterus","","(Girault)","1913","1913"
"Anastatus","apterus","","(Girault)","Parooderella","aptera","","Girault","1913","1913"
"Anastatus","aristoteleus","","Girault","Anastatus","aristotelea","","Girault","1915","1915"
"Anastatus","aristoteleus","","Girault","Anastatus","aristoteleus","","Girault","1915","1915"
"Anastatus","ashmeadi","","(Melander & Brues)","Anastatus","ashmeadi","","(Melander & Brues)","1903","1903"
"Anastatus","ashmeadi","","(Melander & Brues)","Eupelmus","ashmeadi","","Melander & Brues","1903","1903"
"Anastatus","atriflagellum","","(Girault)","Anastatus","atriflagellum","","(Girault)","1924","1924"
"Anastatus","atriflagellum","","(Girault)","Eupelmus","atriflagellum","","Girault","1924","1924"
"Anastatus","auriceps","","Ashmead","Anastatus","auriceps","","Ashmead","1904","1904"
"Anastatus","aurifrons","","Ashmead","Anastatus","aurifrons","","Ashmead","1900","1900"
"Anastatus","axiagasti","","FerriŠre","Anastatus","axiagasti","","FerriŠre","1933","1933"
"Anastatus","axiagasti","","FerriŠre","Anastatus","axiagasti","rufithorax","FerriŠre","1933","1933"
"Anastatus","bangalorensis","","Mani & Kurian","Anastatus","bangalorensis","","Mani & Kurian","1953","1953"
"Anastatus","basalis","","Ashmead","Anastatus","basalis","","Ashmead","1904","1904"
"Anastatus","bekiliensis","","Risbec","Anastatus","bekiliensis","","Risbec","1952","1952"
"Anastatus","bernardi","","FerriŠre","Anastatus","bernardi","","FerriŠre","1954","1954"
"Anastatus","bifasciatus","","(Geoffroy)","Anastatus","bifasciatus","","(Fonscolombe)","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Anastatus","bifasciatus","","(Geoffroy)","1785","1785"
"Anastatus","bifasciatus","","(Geoffroy)","Anastatus","eurycephalus","","Masi","1785","1919"
"Anastatus","bifasciatus","","(Geoffroy)","Anastatus","gastropachae","","Ashmead","1785","1904"
"Anastatus","bifasciatus","","(Geoffroy)","Cerycium","pratense","","Erd”s","1785","1946"
"Anastatus","bifasciatus","","(Geoffroy)","Cinips","bifasciata","","Fonscolombe","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Cinips","bombycum","","Fonscolombe","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Cynips","bifasciatus","","Geoffroy","1785","1785"
"Anastatus","bifasciatus","","(Geoffroy)","Diplolepis","bifasciata","","(Geoffroy)","1785","1785"
"Anastatus","bifasciatus","","(Geoffroy)","Diplolepis","bombycum","","(Fonscolombe)","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Eupelmus","bifasciatus","","(Fonscolombe)","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Eupelmus","subaeneus","","De Stefani","1785","1898"
"Anastatus","bifasciatus","","(Geoffroy)","Misocoris","oomyzus","","(Rondani)","1785","1872"
"Anastatus","bifasciatus","","(Geoffroy)","Misocoris","oophagus","","Rondani","1785","1877"
"Anastatus","bifasciatus","","(Geoffroy)","Misocoris","ovivorus","","Rondani","1785","1872"
"Anastatus","bifasciatus","","(Geoffroy)","Pteromalus","bifasciatus","","(Fonscolombe)","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Pteromalus","gemmarum","","Fonscolombe","1785","1832"
"Anastatus","bifasciatus","","(Geoffroy)","Pteromalus","oomyzus","","Rondani","1785","1872"
"Anastatus","bifasciatus","","(Geoffroy)","Pteromalus","ovivorus","","Rondani","1785","1872"
"Anastatus","biproruli","","(Girault)","Anastatus","biproruli","","(Girault)","1925","1925"
"Anastatus","biproruli","","(Girault)","Eupelmus","biproruli","","Girault","1925","1925"
"Anastatus","blattidifurax","","Girault","Anastatus","blattidifurax","","Girault","1915","1915"
"Anastatus","blattidifurax","","Girault","Eupelmus","blattidifurax","","(Girault)","1915","1915"
"Anastatus","bombax","","Girault","Anastatus","bombax","","Girault","1915","1915"
"Anastatus","borsanii","","Blanchard","Anastatus","borsanii","","Blanchard","1951","1951"
"Anastatus","bostrychidi","","Risbec","Anastatus","bostrychidi","","Risbec","1951","1951"
"Anastatus","brevicaudus","","Kalina","Anastatus","brevicaudus","","Kalina","1981","1981"
"Anastatus","brevipennis","","Ashmead","Anastatus","brevipennis","","Ashmead","1904","1904"
"Anastatus","capensis","","Hedqvist","Anastatus","capensis","","Hedqvist","1970","1970"
"Anastatus","catalonicus","","Bolivar y Pieltain","Anastatus","catalonicus","","Bolivar y Pieltain","1935","1935"
"Anastatus","catamarcensis","","(BrŠthes)","Anastatus","catamarcensis","","(BrŠthes)","1922","1922"
"Anastatus","catamarcensis","","(BrŠthes)","Pseudooderella","catamarcensis","","BrŠthes","1922","1922"
"Anastatus","charitos","","De Santis","Anastatus","charitos","","De Santis","1982","1982"
"Anastatus","citheroniae","!","Blanchard","Anastatus","citheroniae","","Blanchard","",""
"Anastatus","clavatus","","Gibson","Anastatus","clavatus","","Gibson","1995","1995"
"Anastatus","coimbatorensis","!","Girault","Anastatus","coimbatorensis","","Girault","",""
"Anastatus","colemani","","Crawford","Anastatus","colemani","","Crawford","1912","1912"
"Anastatus","coreophagus","","Ashmead","Anastatus","coreophagus","","Ashmead","1904","1904"
"Anastatus","crassicornis","","(Masi)","Anastatus","crassicornis","","(Masi)","1917","1917"
"Anastatus","crassicornis","","(Masi)","Pseudanastatus","crassicornis","","Masi","1917","1917"
"Anastatus","crosi","","Picard","Anastatus","crosi","","Picard","1930","1930"
"Anastatus","cuspidiatus","","Narendran","Anastatus","cuspidiatus","","Narendran","2009","2009"
"Anastatus","dasyni","","FerriŠre","Anastatus","dasyni","","FerriŠre","1935","1935"
"Anastatus","dendrolimus","","Kim & Pak","Anastatus","dendrolimus","","Kim & Pak","1965","1965"
"Anastatus","dexingensis","","Sheng & Wang","Anastatus","dexingensis","","Sheng & Wang","1997","1997"
"Anastatus","dipterae","","(Risbec)","Anastatus","dipterae","","(Risbec)","1955","1955"
"Anastatus","dipterae","","(Risbec)","Descampsia","dipterae","","Risbec","1955","1955"
"Anastatus","diversus","","Gahan","Anastatus","diversus","","Gahan","1934","1934"
"Anastatus","dives","","Masi","Anastatus","dives","","Masi","1929","1929"
"Anastatus","dlabolai","","Kalina","Anastatus","dlabolai","","Kalina","1981","1981"
"Anastatus","dodone","","(Walker)","Anastatus","dodone","","(Walker)","1839","1839"
"Anastatus","dodone","","(Walker)","Calosoter","dodone","","Walker","1839","1839"
"Anastatus","dodone","","(Walker)","Eupelmus","dodone","","(Walker)","1839","1839"
"Anastatus","donius","","Narendran","Anastatus","donius","","Narendran","2009","2009"
"Anastatus","drassi","","(Riley)","Anastatus","drassi","","(Riley)","1892","1892"
"Anastatus","drassi","","(Riley)","Antigaster","drassi","","(Riley)","1892","1892"
"Anastatus","drassi","","(Riley)","Eupelmus","drassi","","Riley","1892","1892"
"Anastatus","echidna","","(Motschulsky)","Anastatus","echidna","","(Motschulsky)","1863","1863"
"Anastatus","echidna","","(Motschulsky)","Cacotropia","echidna","","Motschulsky","1863","1863"
"Anastatus","eurycanthae","","Gibson","Anastatus","eurycanthae","","Gibson","2012","2-12"
"Anastatus","excavatus","","(De Santis)","Anastatus","excavatus","","(De Santis)","1952","1952"
