



20.04.10                         Standard Report                        Page   1



ValGenus               ValSpecies              ValAuthor
---------------------  ----------------------  ---------------------------------
Aphelinus              yasnoshae               Japoshvili
Aphytis                sinaii                  Abd-Rabou
Aprostocetus           akhrulensis             Ranjit, Misra, Mohendro & Prasad
Aprostocetus           denticularis            Ranjit, Misra, Mohendro & Prasad
Brachycerites          furvus                  Hong
Caenohomalopoda        longiclava              Basha & Hayat
Caldencyrtus           canindo                 Trjapitzin & Ruiz Cancino
Conura                 parides                 Tavares & Navarro-Tavares
Diglyphus              scapus                  Yefremova
Eoeurytomites          badius                  Hong
Eomonodontomerites     azulichloriticus        Hong
Eopteromalites         fushunensis             Hong
Eotorymites            chloribrunneus          Hong
Eretmocerus            aegypticus              Evans & Abd-Rabou
Eretmocerus            neomaskelliae           Abd-Rabou & Ghahari
Eretmocerus            ostovani                Ghahari & Abd-Rabou
Eretmocerus            parasiphonini           Evans & Abd-Rabou
Expansicornia          conulata                Hong
Fushuneurytomites      xilutianensis           Hong
Gonatocerus            vanharteni              Jesu & Viggiani
Huaxiatorymus          castaneus               Hong
Indoclava              longissima              Gupta, Khan & Agnihotri
Leptogasterites        brunneus                Hong
Leptogasterites        furvus                  Hong
Leptotorymites         xilutianensis           Hong
Liaoeurytomites        petiolatus              Hong
Melanosmicra           rugosa                  Navarro-Tavares & Tavares
Minotetrastichus       zeasmi                  Narendran
Ophelosia              maculata                Sureshan & Narendran
Pareulophites          nodulus                 Hong
Parzaommomyia          malabarica              Narendran
Platyplectrus          setulosus               Zhu & Huang
Platyplectrus          variflagellum           Zhu & Huang
Pseudotorymus          juniperi                Zerova & Seryogina
Sinilongicapito        guchengziensis          Hong
Sinoeurytomites        nigratus                Hong
Sinoperilampites       livescentus             Hong
Sycophila              inquilina               Mohendro & Prasad
Tetracnemoidea         coimbrensis             Japoshvili
Tetrastichus           mindicus                Narendran
Tetrastichus           tewarii                 Khan, Agnihotri & Sushil
Trigonopterites        eocenicus               Hong
Zhuia                  minor                   Hong















-----------------------------------------------


















































